Category,Command,Binding,When
Source,Annotate Class File,Ctrl+1,Browsing attached Java Source
Run/Debug,Inspect,Ctrl+Shift+I,Chromium Debug
JavaScript Debug,Open Source,Ctrl+Shift+3,Debugging
Run/Debug,Resume,F8,Debugging
Run/Debug,Run to Line,Ctrl+R,Debugging
Run/Debug,Step Into,F5,Debugging
Run/Debug,Step Into Selection,Ctrl+F5,Debugging
Run/Debug,Step Over,F6,Debugging
Run/Debug,Step Return,F7,Debugging
Run/Debug,Terminate,Ctrl+F2,Debugging
Source,Format,Ctrl+Shift+F,Editing Ant Buildfiles
Source,Open Declaration,F3,Editing Ant Buildfiles
Source,Open External Documentation,Shift+F2,Editing Ant Buildfiles
Source,Rename In File,Alt+Shift+R,Editing Ant Buildfiles
Source,Toggle Ant Mark Occurrences,Alt+Shift+O,Editing Ant Buildfiles
Edit,Add Block Comment,Ctrl+Shift+/,Editing in Structured Text Editors
Navigate,Beans Quick Outline,Ctrl+Shift+O,Editing in Structured Text Editors
Edit,Format,Ctrl+Shift+F,Editing in Structured Text Editors
Edit,Format Active Elements,Ctrl+I,Editing in Structured Text Editors
Navigate,Matching Character,Ctrl+Shift+P,Editing in Structured Text Editors
Edit,Matching Tag,Ctrl+Shift+>,Editing in Structured Text Editors
Edit,Next Sibling,Ctrl+Shift+Down,Editing in Structured Text Editors
Edit,Occurrences in File,Ctrl+Shift+A,Editing in Structured Text Editors
Edit,Open Selection,F3,Editing in Structured Text Editors
Edit,Previous Sibling,Ctrl+Shift+Up,Editing in Structured Text Editors
Navigate,Quick Outline,Ctrl+O,Editing in Structured Text Editors
Edit,Remove Block Comment,Ctrl+Shift+\,Editing in Structured Text Editors
Edit,Restore Last Selection,Alt+Shift+Down,Editing in Structured Text Editors
Edit,Select Enclosing Element,Alt+Shift+Up,Editing in Structured Text Editors
Edit,Select Next Element,Alt+Shift+Right,Editing in Structured Text Editors
Edit,Select Previous Element,Alt+Shift+Left,Editing in Structured Text Editors
Search,Spring Beans References Search,Ctrl+Shift+G,Editing in Structured Text Editors
Edit,Toggle Comment,Ctrl+Shift+C,Editing in Structured Text Editors
Navigate,&Quick Cross References,Alt+Shift+P,Editing Java Source
Source,Add Block Comment,Ctrl+Shift+/,Editing Java Source
Source,Add Import,Ctrl+Shift+M,Editing Java Source
Source,Correct Indentation,Ctrl+I,Editing Java Source
Source,Format,Ctrl+Shift+F,Editing Java Source
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing Java Source
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing Java Source
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing Java Source
Navigate,Open Structure,Ctrl+F3,Editing Java Source
Source,Quick Assist - Assign to field,"Ctrl+2, F",Editing Java Source
Source,Quick Assist - Assign to local variable,"Ctrl+2, L",Editing Java Source
Source,Quick Assist - Extract method,"Ctrl+2, M",Editing Java Source
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing Java Source
Navigate,Quick Hierarchy,Ctrl+T,Editing Java Source
Navigate,Quick Outline,Ctrl+O,Editing Java Source
Source,Remove Block Comment,Ctrl+Shift+\,Editing Java Source
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing Java Source
Edit,Restore Last Selection,Alt+Shift+Down,Editing Java Source
Edit,Select Enclosing Element,Alt+Shift+Up,Editing Java Source
Edit,Select Next Element,Alt+Shift+Right,Editing Java Source
Edit,Select Previous Element,Alt+Shift+Left,Editing Java Source
Navigate,Show In Breadcrumb,Alt+Shift+B,Editing Java Source
Source,Toggle Comment,Ctrl+Shift+C,Editing Java Source
Source,Toggle Comment,Ctrl+/,Editing Java Source
Source,Toggle Comment,Ctrl+7,Editing Java Source
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Java Source
Source,Add Block Comment,Ctrl+Shift+/,Editing JavaScript Source
Source,Add Import,Ctrl+Shift+M,Editing JavaScript Source
JavaScript Debug,Evaluate,Alt+Shift+E,Editing JavaScript Source
Source,Format,Ctrl+Shift+F,Editing JavaScript Source
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing JavaScript Source
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing JavaScript Source
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing JavaScript Source
Source,Indent Line,Ctrl+I,Editing JavaScript Source
Navigate,Open Structure,Ctrl+F3,Editing JavaScript Source
Navigate,Open Type,Ctrl+Shift+T,Editing JavaScript Source
Source,Quick Assist - Assign to local variable,"Ctrl+2, L",Editing JavaScript Source
Source,Quick Assist - Assign to var,"Ctrl+2, F",Editing JavaScript Source
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing JavaScript Source
Navigate,Quick Hierarchy,Ctrl+T,Editing JavaScript Source
Navigate,Quick Outline,Ctrl+O,Editing JavaScript Source
Source,Remove Block Comment,Ctrl+Shift+\,Editing JavaScript Source
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing JavaScript Source
Edit,Restore Last Selection,Alt+Shift+Down,Editing JavaScript Source
Edit,Select Enclosing Element,Alt+Shift+Up,Editing JavaScript Source
Edit,Select Next Element,Alt+Shift+Right,Editing JavaScript Source
Edit,Select Previous Element,Alt+Shift+Left,Editing JavaScript Source
Source,Toggle Comment,Ctrl+/,Editing JavaScript Source
Source,Toggle Comment,Ctrl+7,Editing JavaScript Source
Source,Toggle Comment,Ctrl+Shift+C,Editing JavaScript Source
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing JavaScript Source
Edit,Add Im&port,Ctrl+Shift+M,Editing JSP Source
Edit,Move,Alt+Shift+V,Editing JSP Source
Edit,Rename,Alt+Shift+R,Editing JSP Source
Source,Toggle Comment,Ctrl+Shift+C,Editing Properties Files
Source,Toggle Comment,Ctrl+7,Editing Properties Files
Source,Toggle Comment,Ctrl+/,Editing Properties Files
Database Tools,Debug,Ctrl+Alt+D,Editing SQL
Database Tools,Edit in SQL Query Builder...,Alt+Q,Editing SQL
Database Tools,Execute All,Ctrl+Alt+X,Editing SQL
Database Tools,Execute Current Text,Alt+S,Editing SQL
Database Tools,Execute Selected Text,Alt+X,Editing SQL
Database Tools,Execute Selected Text As One Statement,Alt+C,Editing SQL
Database Tools,Goto Matching Token,Ctrl+Shift+P,Editing SQL
Database Tools,Run,Ctrl+Alt+R,Editing SQL
Edit,Toggle Comment,Ctrl+/,Editing SQL
Spket Source,Add Block Comment,Ctrl+Shift+/,Editing Text
Navigate,Beans Quick Cross References,Alt+Shift+G,Editing Text
Text Editing,Capitalize,Ctrl+Alt+C,Editing Text
Text Editing,Collapse,Ctrl+Numpad_Subtract,Editing Text
Text Editing,Collapse All,Ctrl+Shift+Numpad_Divide,Editing Text
Text Editing,Copy Lines,Ctrl+Alt+Down,Editing Text
Text Editing,Delete Line,Ctrl+D,Editing Text
Text Editing,Delete Next Word,Ctrl+Delete,Editing Text
Text Editing,Delete Previous Word,Ctrl+Backspace,Editing Text
Text Editing,Delete to End of Line,Ctrl+Shift+Delete,Editing Text
Text Editing,Duplicate Lines,Ctrl+Alt+Up,Editing Text
Text Editing,Expand,Ctrl+Numpad_Add,Editing Text
Text Editing,Expand All,Ctrl+Numpad_Multiply,Editing Text
Edit,Find Next,Ctrl+K,Editing Text
