Edit,Word Completion,Ctrl+Alt+/,Editing Text
Source,Toggle Comment,Ctrl+Shift+C,Editing Properties Files
Window,Show Ruler Context Menu,Ctrl+F10,Editing Text
Navigate,Open Call Hierarchy,Ctrl+Alt+H,In Windows
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing JavaScript Source
Source,Toggle Comment,Ctrl+Shift+C,Editing Java Source
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Java Source
Navigate,Open Plug-in Artifact,Ctrl+Shift+A,In Windows
Navigate,Open Declaration,F3,In Windows
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing Java Source
Text Editing,Open Hyperlink,F3,in Generic Code Editor
Window,Previous View,Ctrl+Shift+F7,In Windows
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks View
Search,References in Workspace,Ctrl+Shift+G,In Windows
Edit,Format Active Elements,Ctrl+I,Editing in Structured Text Editors
Terminal view commands,Terminal view insert,Alt+G,Terminal Typing Connected
Views,JavaScript Type Hierarchy,"Alt+Shift+Q, T",JavaScript View
Views,Show View (Error Log),"Alt+Shift+Q, L",In Windows
Source,Format,Ctrl+Shift+F,Editing Ant Buildfiles
Window,Previous Editor,Ctrl+Shift+F6,In Windows
Navigate,Quick Type Hierarchy,Ctrl+T,Editing Text
Text Editing,Delete to End of Line,Ctrl+Shift+Delete,Editing Text
Text Editing,Previous Word,Ctrl+Left,Editing Text
Window,Quick Access,Ctrl+3,In Windows
Navigate,Expand All,Ctrl+Shift+Numpad_Multiply,In Windows
Project,Reload JavaScript Profile,Ctrl+Shift+F5,In Windows
Run/Debug,Run JUnit Test,"Alt+Shift+X, T",In Windows
Navigate,Open Type Hierarchy,F4,JavaScript View
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing Java Source
Database Tools,Debug,Ctrl+Alt+D,Editing SQL
Text Editing,Delete Previous Word,Ctrl+Backspace,Editing Text
Source,Add Block Comment,Ctrl+Shift+/,Editing JavaScript Source
Text Editing,Tabs to Spaces,Ctrl+Alt+Space,Editing Text
Navigate,Previous Sub-Tab,Alt+PageUp,In Dialogs and Windows
Window,Toggle Full Screen,Alt+F11,In Dialogs and Windows
Source,Toggle Comment,Ctrl+7,Editing Properties Files
Refactor - Java,Inline,Alt+Shift+I,In Windows
JavaScript Debug,Evaluate,Alt+Shift+E,Editing JavaScript Source
Text Editing,Zoom Out,Ctrl+-,Editing Text
Uncategorized,Show Markup Cheat Sheet,F1,WikiText Markup Source Context
Text Editing,To Lower Case,Ctrl+Shift+Y,Editing Text
Source,Remove Block Comment,Ctrl+Shift+\,Editing JavaScript Source
